3	7	2.15	8	0.9	8	0	2	2.5	7.5	2.3
3	7.5	2.55	0	0.8	9	1	4	2.5	6.5	2.3
3	3.5	3.2	6	0.75	6	15	5	1	7	3
3	3.5	2.4	1	0.85	5	3	3	5	7	2.6
5	4	3.1	9	0.6	8	4	1	3.5	6.5	2.92
4	3	3.6	5	0.95	7	2	3.5	4	7	3.66
3	1.5	2.4	6	0.7	10	1	1.5	4	5.5	2.5
4	5	2.85	2	0.75	9	0	2	4.5	9	3.02
4	4.5	3.5	9	0.8	6	10	1	3	4.5	3.67
4	2	1.8	2	0.7	0	3	4.5	5	5	2.39
4	3.5	3	2	0.75	8	2	5	2.5	5	3
4	3	3.1	8	0.8	10	2	5	1	5.5	3.1
4	6	3	7	0.85	0	1	3.5	4	6	3.08
4	4	3.4	0	0.75	8	20	1	2	8	3.43
3	4.5	2.6	10	0.75	9	1	3	4.5	7.5	2.7
4	2.5	2.8	9	0.8	8	1	1	1	5	2.78
3	1	2.7	3	0.9	0	0	5	5	5.5	2.97
4	1.5	2.7	6	0.9	7	1	4	4	6	2.89
4	5	3.2	8	0.55	1	2	1	3	6.5	3.1
4	2	3.7	6	0.75	8	1	1.5	4.5	7	3.61
4	3.5	2.7	2	0.95	6	0	2	4.5	7.5	2.31
3	6.5	3.2	1	0.9	7	7	1	3	5	3.46
3	6	3.2	3	1	8	0	1.5	2.5	6.5	3.02
4	5.5	2.5	4	0.85	9	1	4	3.5	6.5	2.5
3	5.5	3.3	7	0.8	10	0	5	5	5.5	3.71
3	4	3.6	8	0.85	8	0	2	3	8	3.54
4	2	3.5	5	0.9	6	0	1	1	8	2.98
3	5	3.3	6	0.95	7	6	7	3	8	3.48
4	3	2.8	1	0.9	8	7	2	1.5	9	2.75
4	6	3.3	0	1	9	2	2	4.5	9	3.37
4	6.5	2.8	7	1	10	20	1.5	3	5	2.7
3	7	3.3	8	1	0	1	1	4	9	3.02
3	4	3.4	1	0.8	2	6	2	1	6	3.42
5	6.5	2.8	10	0.85	8	20	5	4	6	2.56
4	0	2.8	2	0.9	2	4	1.5	3.5	5.5	2.57
3	0.5	2	8	0.9	8	1	4	3	4	2.48
4	4.5	2.5	7	0.9	0	3	3	1	3.5	2.45
4	5.5	2.8	6	0.9	9	4	2	4	4	3.06
3	1.5	2.2	9	0.85	7	1	1.5	1	6.5	2.31
4	5.5	3	8	0.85	6	0	4	3	7	3.25
4	7	3.3	3	0.85	3	2	1	5	8.5	3.37
4	2	2.7	10	0.7	8	6	7	4.5	5.5	2.58
4	2	3	9	0.6	6	10	1	4	6.5	3
4	5.5	2.2	1	0.65	7	1	1	5	7	2.4
4	3.5	2.8	8	0.75	8	9	2	1	7	2.33
5	8	3	9	0.85	9	0	2	4	10	3.23
